,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,id, name,is_claimed,is_closed,url,phone,review_count,rating,categories,snippet_text,address,city,state,country,postal_code,neighborhoods,display_address,deals,menu_provider,reservation_url,is_claimed_binary,is_closed_binary,review_count_range,there_is_deal
10,10,10,10,2020-restaurant-and-lounge-washington,2020 Restaurant and Lounge,False,False,https://www.yelp.com/biz/2020-restaurant-and-lounge-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2023322020.0,15,4.5,"[Category(name='Lounges', alias='lounges'), Category(name='Tapas/Small Plates', alias='tapasmallplates')]",Went here to celebrate my wife's birthday. Sae greeted us at the door and was very friendly. Made me feel like a VIP. Had a table for us reserved on the...,['2434 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2434 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 2,False
11,11,11,11,la-granja-de-oro-washington-2,La Granja de Oro,False,False,https://www.yelp.com/biz/la-granja-de-oro-washington-2?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022328888.0,77,3.5,"[Category(name='Latin American', alias='latin'), Category(name='Peruvian', alias='peruvian')]",Food is delish and at a reasonable price.  Order ahead is nice for pick-up.  Only reason not a 5 star is too stingy on the sauce!,['1832 Columbia Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1832 Columbia Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 4,False
12,12,12,12,southern-hospitality-washington,Southern Hospitality,False,False,https://www.yelp.com/biz/southern-hospitality-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2025880411.0,381,3.5,"[Category(name='Southern', alias='southern'), Category(name='American (New)', alias='newamerican')]",This place is amazing. Anthony and his staff went above and beyond to accommodate my fairly large 30th birthday party guests (about 30 guests.)  I called...,['1815 Adams Mill Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1815 Adams Mill Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 7,False
13,13,13,13,tail-up-goat-washington,Tail Up Goat,False,False,https://www.yelp.com/biz/tail-up-goat-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2029869600.0,122,4.5,"[Category(name='Cocktail Bars', alias='cocktailbars'), Category(name='American (New)', alias='newamerican'), Category(name='Italian', alias='italian')]","Food was great!
Red grit sourdough was one of the best things I've eaten in DC.
Service was amazing!",['1827 Adams Mill Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1827 Adams Mill Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 5,False
14,14,14,14,mintwood-place-washington,Mintwood Place,False,False,https://www.yelp.com/biz/mintwood-place-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022346732.0,491,4.0,"[Category(name='American (New)', alias='newamerican'), Category(name='French', alias='french'), Category(name='Bars', alias='bars')]","First the food:
Salmon Eggs Benedict: I dont usually get eggs benedict because I dont like runny eggs, but this time I asked them to cook it so its not so...",['1813 Columbia Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1813 Columbia Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 7,False
15,15,15,15,bul-washington,Bul,False,False,https://www.yelp.com/biz/bul-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2027333921.0,183,4.0,"[Category(name='Korean', alias='korean'), Category(name='Bars', alias='bars')]","Great service here. Once we walked in, the staff was immediately available to cater to my needs of finding the perfect place to sit - i can get picky at...",['2431 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2431 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 5,False
16,16,16,16,the-black-squirrel-washington,The Black Squirrel,False,False,https://www.yelp.com/biz/the-black-squirrel-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022321011.0,287,3.5,"[Category(name='American (New)', alias='newamerican'), Category(name='Bars', alias='bars'), Category(name='Music Venues', alias='musicvenues')]","Nothing but praise for the event staff at Black Squirrel. We just finished throwing a 30th birthday party for my boyfriend, with about 50 guests in...",['2427 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2427 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 6,False
17,17,17,17,amsterdam-falafelshop-washington-4,Amsterdam Falafelshop,False,False,https://www.yelp.com/biz/amsterdam-falafelshop-washington-4?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022341969.0,1700,4.5,"[Category(name='Vegetarian', alias='vegetarian'), Category(name='Middle Eastern', alias='mideastern'), Category(name='Falafel', alias='falafel')]",We can't be friends if you're not a fan of Amsterdam Falafelshop. It's fast food but not really- a dichotomy between casual dining and the on-the-goer. It's...,['2425 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2425 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,eat24,,0.0,0.0,Level 9,False
18,18,18,18,perrys-restaurant-washington,Perry's Restaurant,False,False,https://www.yelp.com/biz/perrys-restaurant-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022346218.0,518,3.5,"[Category(name='Sushi Bars', alias='sushi'), Category(name='Japanese', alias='japanese')]","I actually had no idea that this was a actually sushi bar! I came for my friend's birthday/ Sunday Drag Brunch, and it was such a fun and great experience....",['1811 Columbia Rd Nw'],Washington,DC,US,20009.0,['Adams Morgan'],"['1811 Columbia Rd Nw', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 8,False
19,19,19,19,pops-seabar-washington-3,Pop's SeaBar,False,False,https://www.yelp.com/biz/pops-seabar-washington-3?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2025343933.0,71,3.5,"[Category(name='American (Traditional)', alias='tradamerican'), Category(name='Dive Bars', alias='divebars'), Category(name='Seafood', alias='seafood')]",We just moved into the neighborhood and tried Pop's SeaBar for the first time on Saturday night. I had heard of this magical gem before but never had the...,['1817 Columbia Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1817 Columbia Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 4,False
20,20,20,20,astor-mediterranean-washington,Astor Mediterranean,False,False,https://www.yelp.com/biz/astor-mediterranean-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2027457495.0,252,4.0,"[Category(name='Greek', alias='greek'), Category(name='Mediterranean', alias='mediterranean'), Category(name='Middle Eastern', alias='mideastern')]","Great food
Great prices

VERY simple decor ~ but come for the food

Best fries in DC
GREAT panini and gyros

Eat here",['1829 Columbia Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1829 Columbia Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 6,False
21,21,21,21,sos-your-mom-washington,So's Your Mom,False,False,https://www.yelp.com/biz/sos-your-mom-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2024623666.0,256,4.0,"[Category(name='Delis', alias='delis'), Category(name='Sandwiches', alias='sandwiches'), Category(name='Bagels', alias='bagels')]","Pro Tips:

- Cash only, but there is a Bank of America ATM right next door

- Know what you want before you're up, order and move away from the counter...",['1831 Columbia Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1831 Columbia Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 6,False
22,22,22,22,pho-14-washington-4,Pho 14,False,False,https://www.yelp.com/biz/pho-14-washington-4?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2029862288.0,142,3.5,"[Category(name='Vietnamese', alias='vietnamese')]","I just moved to DC and was super hungry after a long bus ride from NYC. In NYC, we're all about good food and I was excited to see what Pho 14 has to offer...",['1769 Columbia Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1769 Columbia Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 5,False
23,23,23,23,ventnor-sports-cafe-washington-2,Ventnor Sports Cafe,False,False,https://www.yelp.com/biz/ventnor-sports-cafe-washington-2?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022343070.0,164,4.0,"[Category(name='Sports Bars', alias='sportsbars'), Category(name='American (Traditional)', alias='tradamerican'), Category(name='Chicken Wings', alias='chicken_wings')]","A friend suggested we check this place out for a solid, slightly nicer sports bar. I am glad she suggested it since this might now be one of my favorite...",['2411 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2411 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 5,False
24,24,24,24,rise-bakery-washington,Rise Bakery,False,False,https://www.yelp.com/biz/rise-bakery-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2025255204.0,85,4.0,"[Category(name='Bakeries', alias='bakeries'), Category(name='Gluten-Free', alias='gluten_free'), Category(name='Cafes', alias='cafes')]","It's a good thing I don't live next door to Rise Bakery.....I'd be in there all the time! After my son and I had to go gluten free about a year ago, we've...","['2409 18th St NW', '1st Fl']",Washington,DC,US,20009.0,['Adams Morgan'],"['2409 18th St NW', '1st Fl', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 4,False
25,25,25,25,wok-and-roll-washington-7,Wok and Roll,False,False,https://www.yelp.com/biz/wok-and-roll-washington-7?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2025885888.0,161,3.0,"[Category(name='Sushi Bars', alias='sushi'), Category(name='Chinese', alias='chinese'), Category(name='Asian Fusion', alias='asianfusion')]",I'm a consistent (read: 1x or more/week) GrubHub customer. Found this gem over a year ago and haven't looked back. Sashimi orders have awesome portions for...,['2400 18th Nw St'],Washington,DC,US,20009.0,['Adams Morgan'],"['2400 18th Nw St', 'Adams Morgan', 'Washington, DC 20009']",,eat24,,0.0,0.0,Level 5,False
26,26,26,26,super-tacos-and-bakery-washington,Super Tacos & Bakery,False,False,https://www.yelp.com/biz/super-tacos-and-bakery-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022327122.0,302,3.5,"[Category(name='Mexican', alias='mexican'), Category(name='Bakeries', alias='bakeries')]","Oh my YUM.  I may have a slight obsession/love interest with/for tacos.

Living in Seattle for 5 years got me addicted to authentic Mexican taco trucks and...",['1762 Columbia Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1762 Columbia Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,eat24,,0.0,0.0,Level 7,False
27,27,27,27,lapis-washington,Lapis,False,False,https://www.yelp.com/biz/lapis-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022999630.0,125,4.0,"[Category(name='French', alias='french'), Category(name='Afghan', alias='afghani'), Category(name='Cocktail Bars', alias='cocktailbars')]","This is probably one of my favorite restaurants in DC. I am Afghan, so the dishes taste very authentic and close to moms cooking. The portions are like...",['1847 Columbia Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1847 Columbia Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 5,False
28,28,28,28,the-grill-from-ipanema-washington,The Grill From Ipanema,False,False,https://www.yelp.com/biz/the-grill-from-ipanema-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2029860757.0,254,3.5,"[Category(name='Brazilian', alias='brazilian'), Category(name='Tapas/Small Plates', alias='tapasmallplates')]","I always had a good time at The Grill from Ipanema. It's a place that you could easily enjoy yourself alone, go with friends from life or work, celebrate...",['1858 Columbia Rd NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1858 Columbia Rd NW', 'Adams Morgan', 'Washington, DC 20009']",,eat24,,0.0,0.0,Level 6,False
29,29,29,29,bourbon-washington-2,Bourbon,False,False,https://www.yelp.com/biz/bourbon-washington-2?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2023320800.0,320,3.5,"[Category(name='Bars', alias='bars'), Category(name='American (Traditional)', alias='tradamerican')]",I came in on a slow Sunday night with my husband and realized just now after looking at other reviews that for a period of time the business owner served us...,['2321 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2321 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 7,False
30,30,30,30,pollo-granjero-washington,Pollo Granjero,False,False,https://www.yelp.com/biz/pollo-granjero-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2024644444.0,34,3.0,"[Category(name='Fast Food', alias='hotdogs'), Category(name='Peruvian', alias='peruvian')]","Mexican food is my favorite. I'm also a big fan of simplicity. 

This place gives you just that! It has no frills or fancy waiters, and there's only one guy...",['1742 Columbia Rd'],Washington,DC,US,20009.0,['Adams Morgan'],"['1742 Columbia Rd', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 2,False
31,31,31,31,dans-cafe-washington,Dan's Cafe,False,False,https://www.yelp.com/biz/dans-cafe-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022650299.0,214,4.0,"[Category(name='Dive Bars', alias='divebars'), Category(name='Cafes', alias='cafes')]","Looking to not remember the evening? 
How about an excuse to call that ex that all your friends hate? 
Or maybe you just REALLY want to pour drinks out of a...",['2315 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2315 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 6,False
32,32,32,32,las-canteras-washington,Las Canteras,False,False,https://www.yelp.com/biz/las-canteras-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022651780.0,283,4.0,"[Category(name='Latin American', alias='latin'), Category(name='Peruvian', alias='peruvian')]",Walked in on a whim last night for dinner with my husband. We each got a Pisco Sour to drink. I had the Aji de Gallina for dinner and he had the Lomo...,"['2307 18th St NW', 'Adams Morgan']",Washington,DC,US,20009.0,['Adams Morgan'],"['2307 18th St NW', 'Adams Morgan', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 6,False
33,33,33,33,himalayan-heritage-restaurant-washington,Himalayan Heritage Restaurant,False,False,https://www.yelp.com/biz/himalayan-heritage-restaurant-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2024839300.0,379,3.5,"[Category(name='Indian', alias='indpak'), Category(name='Himalayan/Nepalese', alias='himalayan')]",WOW...I've been coming to A-M for years and honestly have never ever ever ever stepped into this restaurant until recently lol I thought I had to trek all...,['2305 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2305 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,eat24,,0.0,0.0,Level 7,False
34,34,34,34,kalorama-deli-washington-2,Kalorama Deli,False,False,https://www.yelp.com/biz/kalorama-deli-washington-2?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2024832190.0,19,4.5,"[Category(name='Delis', alias='delis'), Category(name='Sandwiches', alias='sandwiches')]",I come here about once a week to pick up a sandwich to go. The menu is quite extensive and I can't speak for a lot of the options. My favorites are any of...,['2343 17th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2343 17th St NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 2,False
35,35,35,35,adams-morgan-coffee-shop-washington-3,Adams Morgan Coffee Shop,False,False,https://www.yelp.com/biz/adams-morgan-coffee-shop-washington-3?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2025880599.0,79,4.0,"[Category(name='Ethiopian', alias='ethiopian'), Category(name='Cafes', alias='cafes')]","Whar a great hospitality! I had pleased myself with  delicious food--Tibs , and strong and testy coffe of the season! I usually recognize good ciffee by its...",['2204 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2204 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 4,False
36,36,36,36,mama-ayeshas-washington,Mama Ayesha's,False,False,https://www.yelp.com/biz/mama-ayeshas-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022325431.0,399,4.0,"[Category(name='Middle Eastern', alias='mideastern'), Category(name='Mediterranean', alias='mediterranean'), Category(name='Syrian', alias='syrian')]","This place is amazing. Please do not be deceived by its outer ""homely"" appearance; the atmosphere and ambiance found inside does not reconcile to the first...",['1967 Calvert St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1967 Calvert St NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 7,False
37,37,38,38,red-white-and-basil-washington,"Red, White and Basil",False,False,https://www.yelp.com/biz/red-white-and-basil-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2025187021.0,105,4.0,"[Category(name='Wine Bars', alias='wine_bars'), Category(name='Italian', alias='italian'), Category(name='Breakfast & Brunch', alias='breakfast_brunch')]","Yumyumyum. 

Got the tortellini w/ veggies added on and vodka sauce. Typically I don't go for tortellini but there were so many recommendations for it that...",['1781 Florida Ave NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['1781 Florida Ave NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 5,False
38,38,39,39,pleasant-pops-farmhouse-market-and-cafe-washington,Pleasant Pops Farmhouse Market & Cafe,False,False,https://www.yelp.com/biz/pleasant-pops-farmhouse-market-and-cafe-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2025585224.0,276,4.5,"[Category(name='Ice Cream & Frozen Yogurt', alias='icecream'), Category(name='Coffee & Tea', alias='coffee'), Category(name='Cafes', alias='cafes')]","Love the mood here! Huge windows and lots of people sitting and chatting and/or working. I have only ever tried their Popsicles, but they also offer some...","['1781 Florida Ave NW', 'Ste G']",Washington,DC,US,20009.0,['Adams Morgan'],"['1781 Florida Ave NW', 'Ste G', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 6,False
